X,Y,Z,Position
0.39,8.41,4.76,Tilt left
0.46,8.71,4.88,Tilt left
0.5,8.62,5.01,Tilt left
0.51,8.34,4.85,Tilt left
0.52,8.14,4.78,Tilt left
0.5,7.97,4.82,Tilt left
0.49,7.95,4.89,Tilt left
0.47,8.03,5.03,Tilt left
0.58,8.14,5.1,Tilt left
0.56,8.47,5.1,Tilt left
0.64,8.54,5.27,Tilt left
0.59,8.22,5.13,Tilt left
0.6,8.01,4.99,Tilt left
0.61,8.07,5,Tilt left
0.61,8.2,5.03,Tilt left
0.59,8.11,5.08,Tilt left
0.61,8.13,5.09,Tilt left
0.63,8.19,5.09,Tilt left
0.58,7.9,4.03,Tilt left
0.65,7.4,4.03,Tilt left
0.57,8.19,5.88,Tilt left
0.51,8.38,5.61,Tilt left
0.61,8.45,5.47,Tilt left
0.53,8.34,5.25,Tilt left
0.5,8.3,5.39,Tilt left
0.51,8.5,5.38,Tilt left
0.43,8.26,5.41,Tilt left
0.41,7.99,5.37,Tilt left
0.43,7.98,5.38,Tilt left
0.44,8.19,5.47,Tilt left
0.55,8.62,5.74,Tilt left
0.31,8.13,5.64,Tilt left
0.43,8.95,5.87,Tilt left
0.54,9.1,5.7,Tilt left
0.61,8.77,5.58,Tilt left
0.35,7.62,5.26,Tilt left
0.35,7.21,4.96,Tilt left
0.38,7.26,5.07,Tilt left
0.48,7.8,5.5,Tilt left
0.52,8.15,5.65,Tilt left
0.58,8.21,5.53,Tilt left
0.58,8.04,5.3,Tilt left
0.66,7.87,5.17,Tilt left
0.63,7.89,5.21,Tilt left
0.57,8.01,5.39,Tilt left
0.56,8.1,5.48,Tilt left
0.54,8.15,5.44,Tilt left
0.47,7.99,5.46,Tilt left
0.44,8.05,5.64,Tilt left
0.52,8.28,5.38,Tilt left
0.51,8.27,5.09,Tilt left
0.57,8.06,5.41,Tilt left
0.57,8.22,5.11,Tilt left
0.64,8.18,5.39,Tilt left
0.21,6.65,6,Tilt left
0.39,8.09,5.65,Tilt left
0.56,8.1,5.15,Tilt left
0.51,8.24,5.44,Tilt left
0.55,7.96,5.58,Tilt left
0.57,7.89,5.68,Tilt left
0.57,7.73,5.57,Tilt left
0.51,7.82,5.66,Tilt left
0.48,7.81,5.77,Tilt left
0.48,7.6,5.88,Tilt left
0.5,7.63,5.99,Tilt left
0.45,7.63,6.14,Tilt left
0.45,7.6,6.22,Tilt left
0.42,7.49,6.26,Tilt left
0.53,7.43,6.48,Tilt left
0.42,7.32,6.49,Tilt left
0.4,7.24,6.54,Tilt left
0.39,7.05,6.7,Tilt left
0.42,6.95,6.8,Tilt left
0.41,6.85,6.86,Tilt left
0.37,6.86,6.94,Tilt left
0.38,6.84,7.01,Tilt left
0.4,6.79,7.13,Tilt left
0.43,6.7,7.15,Tilt left
0.44,6.66,7.16,Tilt left
0.43,6.55,7.18,Tilt left
0.39,6.51,7.19,Tilt left
0.47,6.53,7.23,Tilt left
0.47,6.51,7.29,Tilt left
0.47,6.53,7.35,Tilt left
0.51,6.51,7.36,Tilt left
0.47,6.52,7.44,Tilt left
0.46,6.42,7.44,Tilt left
0.5,6.42,7.3,Tilt left
0.46,6.37,7.31,Tilt left
0.51,6.3,7.43,Tilt left
0.52,6.33,7.31,Tilt left
0.51,6.29,7.37,Tilt left
0.58,6.2,7.43,Tilt left
0.52,6.18,7.41,Tilt left
0.54,6.21,7.36,Tilt left
0.56,6.17,7.43,Tilt left
0.57,6.16,7.44,Tilt left
0.56,6.17,7.52,Tilt left
0.59,6.12,7.59,Tilt left
0.56,6.04,7.59,Tilt left
0.52,5.98,7.6,Tilt left
0.56,5.9,7.61,Tilt left
0.61,5.88,7.79,Tilt left
0.61,5.83,7.86,Tilt left
0.61,5.8,7.95,Tilt left
0.62,5.74,8.03,Tilt left
0.63,5.7,8.06,Tilt left
0.66,5.61,8.1,Tilt left
0.66,5.57,8.18,Tilt left
0.64,5.62,8.33,Tilt left
0.59,5.6,8.36,Tilt left
0.68,5.51,8.29,Tilt left
0.69,5.4,8.32,Tilt left
0.73,5.24,8.35,Tilt left
0.72,5.11,8.36,Tilt left
0.7,5.03,8.22,Tilt left
0.67,4.98,8.29,Tilt left
0.74,4.84,8.3,Tilt left
0.76,4.79,8.36,Tilt left
0.77,4.67,8.29,Tilt left
0.78,4.6,8.27,Tilt left
0.78,4.55,8.43,Tilt left
0.81,4.43,8.5,Tilt left
0.82,4.34,8.44,Tilt left
0.82,4.27,8.45,Tilt left
0.82,4.29,8.58,Tilt left
0.84,4.32,8.69,Tilt left
0.85,4.33,8.79,Tilt left
0.87,4.3,8.87,Tilt left
0.89,4.25,8.92,Tilt left
0.88,4.28,8.96,Tilt left
0.87,4.24,9.02,Tilt left
0.91,4.11,8.87,Tilt left
0.91,4,8.77,Tilt left
0.86,3.93,8.75,Tilt left
0.9,3.88,8.77,Tilt left
0.89,3.84,8.74,Tilt left
0.88,3.76,8.66,Tilt left
0.92,3.69,8.72,Tilt left
0.93,3.78,8.87,Tilt left
0.93,3.83,9.07,Tilt left
0.97,3.75,9.06,Tilt left
0.91,3.76,9.08,Tilt left
0.89,3.7,9.12,Tilt left
0.94,3.64,9.04,Tilt left
0.94,3.57,9,Tilt left
0.96,3.41,8.98,Tilt left
0.97,3.32,8.97,Tilt left
0.92,3.29,9.09,Tilt left
0.97,3.23,9.08,Tilt left
0.93,3.21,9.13,Tilt left
0.98,3.13,9.41,Tilt left
0.99,2.61,9.55,Tilt left
0.99,7.04,6.67,Tilt left
0.98,7.03,6.69,Tilt left
0.98,7.01,6.68,Tilt left
1,7.2,6.54,Tilt left
0.97,6.89,5.73,Tilt left
0.96,6.48,5.1,Tilt left
0.79,5.55,3.91,Tilt left
0.53,6.3,5.23,Tilt left
0.65,8.39,6.32,Tilt left
0.94,9.78,6.55,Tilt left
0.63,9.78,6.85,Tilt left
0.92,8.97,5.96,Tilt left
0.62,8.26,5.19,Tilt left
0.43,7.77,4.66,Tilt left
0.5,7.81,4.64,Tilt left
0.57,7.96,4.66,Tilt left
0.41,8.29,5.15,Tilt left
0.53,8.44,5.25,Tilt left
0.61,8.6,4.94,Tilt left
0.6,8.68,4.76,Tilt left
0.61,8.56,4.65,Tilt left
0.6,8.43,4.48,Tilt left
0.58,8.43,4.55,Tilt left
0.59,8.45,4.54,Tilt left
0.6,8.55,4.6,Tilt left
0.59,8.64,4.64,Tilt left
0.6,8.68,4.64,Tilt left
0.61,8.57,4.59,Tilt left
0.57,8.55,4.56,Tilt left
0.54,8.56,4.54,Tilt left
0.54,8.57,4.55,Tilt left
0.52,8.6,4.67,Tilt left
0.52,8.61,4.69,Tilt left
0.54,8.66,4.65,Tilt left
0.54,8.7,4.69,Tilt left
0.57,8.64,4.62,Tilt left
0.56,8.63,4.62,Tilt left
0.54,8.61,4.6,Tilt left
0.53,8.59,4.54,Tilt left
0.56,8.59,4.5,Tilt left
0.57,8.57,4.46,Tilt left
0.57,8.57,4.42,Tilt left
0.57,8.62,4.46,Tilt left
0.54,8.64,4.54,Tilt left
0.53,8.66,4.68,Tilt left
0.53,8.69,4.62,Tilt left
0.49,8.71,4.56,Tilt left
0.56,8.74,4.49,Tilt left
0.6,8.83,3.73,Tilt left
0.68,8.83,4.52,Tilt left
0.39,8.45,4.41,Tilt left
0.88,9.18,4.35,Tilt left
0.35,8.48,3.99,Tilt left
0.73,8.95,4.17,Tilt left
0.47,8.62,4,Tilt left
0.52,8.72,3.87,Tilt left
0.38,8.89,4.07,Tilt left
0.33,8.82,3.93,Tilt left
0.38,8.88,4.01,Tilt left
0.38,8.87,3.9,Tilt left
0.36,8.76,3.6,Tilt left
0.29,9.01,3.68,Tilt left
0.32,9.01,3.59,Tilt left
0.39,9.01,3.38,Tilt left
0.53,8.92,2.97,Tilt left
0.42,8.94,2.85,Tilt left
0.25,9.18,3.01,Tilt left
0.22,9.39,3.1,Tilt left
0.31,9.43,3.03,Tilt left
0.33,9.42,2.87,Tilt left
0.31,9.43,2.7,Tilt left
0.26,9.45,2.6,Tilt left
0.3,9.5,2.49,Tilt left
0.3,9.62,2.43,Tilt left
0.27,9.73,2.47,Tilt left
0.26,9.78,2.41,Tilt left
0.25,9.73,2.3,Tilt left
0.26,9.69,2.18,Tilt left
0.24,9.56,1.97,Tilt left
0.19,9.53,1.86,Tilt left
0.17,9.59,1.85,Tilt left
0.18,9.63,1.85,Tilt left
0.18,9.65,1.78,Tilt left
0.16,9.72,1.66,Tilt left
0.16,9.75,1.57,Tilt left
0.15,9.76,1.49,Tilt left
0.16,9.23,3.28,Tilt left
0.2,9.36,3.43,Tilt left
0.28,9.12,3.35,Tilt left
0.19,8.91,3.42,Tilt left
0.15,8.89,3.68,Tilt left
0.19,8.92,3.18,Tilt left
0.16,8.94,4.04,Tilt left
0.18,8.82,4.66,Tilt left
0.16,8.81,4.17,Tilt left
0.21,8.79,4.38,Tilt left
0.22,8.47,4.27,Tilt left
0.17,8.65,4.21,Tilt left
0.16,8.02,5.53,Tilt left
0.16,7.98,5.58,Tilt left
0.15,7.91,5.72,Tilt left
0.21,7.83,5.87,Tilt left
0.21,7.82,5.98,Tilt left
0.21,7.74,6.06,Tilt left
0.19,7.65,6.07,Tilt left
0.19,7.58,6.09,Tilt left
0.18,7.51,6.12,Tilt left
0.19,7.42,6.18,Tilt left
0.24,7.36,6.27,Tilt left
0.23,7.37,6.35,Tilt left
0.25,7.33,6.45,Tilt left
0.26,7.25,6.58,Tilt left
0.29,7.22,6.7,Tilt left
0.32,7.17,6.72,Tilt left
0.32,7.07,6.78,Tilt left
0.32,6.99,6.92,Tilt left
0.36,6.97,6.92,Tilt left
0.38,6.89,6.92,Tilt left
0.41,6.84,6.99,Tilt left
0.43,6.78,7.03,Tilt left
0.45,6.73,7.06,Tilt left
0.45,6.7,7.13,Tilt left
0.49,6.68,7.18,Tilt left
0.5,6.61,7.24,Tilt left
0.49,6.53,7.21,Tilt left
0.49,6.47,7.24,Tilt left
0.49,6.41,7.26,Tilt left
0.51,6.3,7.27,Tilt left
0.52,6.24,7.32,Tilt left
0.52,6.27,7.36,Tilt left
0.59,6.11,7.35,Tilt left
0.6,5.98,7.33,Tilt left
0.61,6,7.38,Tilt left
0.62,6.02,7.5,Tilt left
0.61,6.01,7.71,Tilt left
0.65,5.94,7.81,Tilt left
0.67,5.89,7.84,Tilt left
0.66,5.91,7.97,Tilt left
0.7,5.8,8.02,Tilt left
0.68,5.64,7.99,Tilt left
0.66,5.52,7.92,Tilt left
0.64,5.41,7.9,Tilt left
0.65,5.4,8.03,Tilt left
0.66,5.42,8.25,Tilt left
0.72,5.26,8.31,Tilt left
0.73,5.17,8.28,Tilt left
0.73,5.12,8.29,Tilt left
0.77,4.96,8.27,Tilt left
0.72,4.96,8.3,Tilt left
0.77,4.85,8.41,Tilt left
0.77,4.7,8.35,Tilt left
0.75,4.71,8.44,Tilt left
0.77,4.66,8.59,Tilt left
0.78,4.48,8.57,Tilt left
0.78,4.45,8.61,Tilt left
0.75,4.38,8.6,Tilt left
0.75,4.38,8.67,Tilt left
0.77,4.3,8.73,Tilt left
0.79,4.27,8.78,Tilt left
0.78,4.29,8.85,Tilt left
0.8,4.15,8.87,Tilt left
0.82,4.09,8.81,Tilt left
0.8,4.1,8.78,Tilt left
0.8,3.99,8.74,Tilt left
0.81,4.04,8.81,Tilt left
0.82,4,8.86,Tilt left
0.85,3.99,8.9,Tilt left
0.85,3.93,8.85,Tilt left
0.84,3.88,8.91,Tilt left
0.83,3.83,8.9,Tilt left
0.84,3.8,8.91,Tilt left
0.85,3.72,8.98,Tilt left
0.85,3.69,9.03,Tilt left
0.83,3.65,9.04,Tilt left
0.84,3.54,9.11,Tilt left
0.85,3.47,9.04,Tilt left
0.86,3.46,9.03,Tilt left
0.87,3.43,9.09,Tilt left
0.88,3.33,9.11,Tilt left
0.88,3.23,9.07,Tilt left
0.89,3.15,9.14,Tilt left
0.88,3.1,9.18,Tilt left
0.9,3.03,9.2,Tilt left
0.9,2.98,9.28,Tilt left
0.9,2.98,9.28,Tilt left
0.89,2.92,9.3,Tilt left
0.92,2.8,9.32,Tilt left
0.91,2.83,9.33,Tilt left
0.9,2.78,9.39,Tilt left
0.93,2.65,9.35,Tilt left
0.9,2.68,9.41,Tilt left
0.92,2.53,9.38,Tilt left
0.91,2.41,9.28,Tilt left
0.98,2.37,9.27,Tilt left
0.93,2.26,9.43,Tilt left
0.95,2.22,9.51,Tilt left
0.93,2.16,9.56,Tilt left
0.94,2.04,9.56,Tilt left
0.98,1.89,9.46,Tilt left
0.97,1.88,9.57,Tilt left
0.98,1.75,9.58,Tilt left
0.98,1.71,9.58,Tilt left
0.98,1.61,9.67,Tilt left
0.98,1.45,9.64,Tilt left
0.98,1.32,9.67,Tilt left
0.98,1.24,9.68,Tilt left
1,1.15,9.66,Tilt left
0.99,4.53,8.79,Tilt left
0.98,5.16,8.21,Tilt left
0.97,5.27,8.22,Tilt left
0.98,5.31,8.18,Tilt left
1,5.43,8.1,Tilt left
0.99,5.43,8.06,Tilt left
0.99,5.44,8.03,Tilt left
0.98,5.53,7.94,Tilt left
0.98,5.59,7.91,Tilt left
0.99,5.61,7.87,Tilt left
0.99,5.64,7.82,Tilt left
0.98,5.73,7.86,Tilt left
0.98,5.76,7.86,Tilt left
0.97,5.77,7.79,Tilt left
0.93,5.82,7.73,Tilt left
0.95,5.86,7.7,Tilt left
0.95,5.91,7.7,Tilt left
0.96,5.99,7.68,Tilt left
0.99,6.02,7.6,Tilt left
0.98,6.06,7.56,Tilt left
0.98,6.09,7.55,Tilt left
0.99,6.14,7.57,Tilt left
0.95,6.23,7.44,Tilt left
0.96,6.27,7.37,Tilt left
0.96,6.29,7.33,Tilt left
0.95,6.34,7.28,Tilt left
0.94,6.42,7.27,Tilt left
0.92,6.45,7.23,Tilt left
0.93,6.5,7.21,Tilt left
0.92,6.58,7.21,Tilt left
0.91,6.64,7.14,Tilt left
0.91,6.69,7.04,Tilt left
0.89,6.75,6.96,Tilt left
0.91,6.8,6.85,Tilt left
0.93,6.77,6.74,Tilt left
0.93,6.9,6.75,Tilt left
0.91,7.04,6.74,Tilt left
0.9,7.11,6.72,Tilt left
0.85,7.22,6.72,Tilt left
0.89,7.19,6.62,Tilt left
0.86,7.22,6.51,Tilt left
0.86,7.25,6.42,Tilt left
0.87,7.29,6.33,Tilt left
0.88,7.31,6.3,Tilt left
0.87,7.38,6.27,Tilt left
0.86,7.47,6.21,Tilt left
0.85,7.51,6.17,Tilt left
0.83,7.58,6.14,Tilt left
0.82,7.63,6.03,Tilt left
0.81,7.7,5.91,Tilt left
0.83,7.7,5.83,Tilt left
0.81,7.75,5.78,Tilt left
0.82,7.82,5.71,Tilt left
0.81,7.88,5.68,Tilt left
0.79,7.93,5.63,Tilt left
0.78,7.99,5.54,Tilt left
0.71,8.09,5.46,Tilt left
0.76,8.13,5.4,Tilt left
0.76,8.15,5.3,Tilt left
0.74,8.21,5.2,Tilt left
0.72,8.25,5.12,Tilt left
0.75,8.27,5.04,Tilt left
0.73,8.28,4.88,Tilt left
0.68,8.4,4.81,Tilt left
0.72,8.81,5.45,Tilt left
0.7,8.58,4.77,Tilt left
0.68,8.53,4.55,Tilt left
0.66,8.62,4.6,Tilt left
0.68,8.62,4.59,Tilt left
0.65,8.62,4.49,Tilt left
0.63,8.63,4.41,Tilt left
0.67,8.65,4.43,Tilt left
0.67,8.72,4.44,Tilt left
0.67,8.75,4.39,Tilt left
0.67,8.77,4.36,Tilt left
0.69,8.79,4.26,Tilt left
0.68,8.8,4.16,Tilt left
0.65,8.76,4.17,Tilt left
0.69,8.78,4.24,Tilt left
0.66,8.78,4.22,Tilt left
0.68,8.8,4.18,Tilt left
0.69,8.82,4.2,Tilt left
0.66,8.86,4.12,Tilt left
0.69,8.91,4.05,Tilt left
0.72,8.96,3.98,Tilt left
0.72,8.98,4.06,Tilt left
0.67,8.93,3.92,Tilt left
0.63,8.95,3.64,Tilt left
0.7,9.01,3.97,Tilt left
0.69,9.02,3.71,Tilt left
0.67,9.16,3.46,Tilt left
0.7,9.14,3.58,Tilt left
0.69,9.08,3.47,Tilt left
0.72,9.11,3.54,Tilt left
0.69,9.13,3.43,Tilt left
0.68,9.16,3.38,Tilt left
0.67,9.16,3.21,Tilt left
0.68,9.25,3.21,Tilt left
0.67,9.28,3.06,Tilt left
0.69,9.31,3.01,Tilt left
0.67,9.32,2.93,Tilt left
0.65,9.35,2.85,Tilt left
0.66,9.34,2.74,Tilt left
0.7,9.33,3.06,Tilt left
0.66,9.29,2.85,Tilt left
0.66,9.38,2.71,Tilt left
0.7,9.43,2.51,Tilt left
0.71,9.45,2.2,Tilt left
0.76,9.53,2.97,Tilt left
0.67,9.37,2.71,Tilt left
0.63,9.43,2.41,Tilt left
0.65,9.44,2.08,Tilt left
0.72,9.54,2.63,Tilt left
0.67,9.46,2.67,Tilt left
0.64,9.45,2.41,Tilt left
0.66,9.52,2.2,Tilt left
0.68,9.56,2.29,Tilt left
0.67,9.52,2.23,Tilt left
0.66,9.51,2.19,Tilt left
0.67,9.53,2.15,Tilt left
0.69,9.57,2.02,Tilt left
0.67,9.6,1.64,Tilt left
0.69,9.66,1.64,Tilt left
0.74,9.73,2.59,Tilt left
0.61,9.49,1.89,Tilt left
0.57,9.65,1.39,Tilt left
0.65,9.64,1.56,Tilt left
0.7,9.65,2.15,Tilt left
0.6,9.59,1.77,Tilt left
0.61,9.65,1.54,Tilt left
0.63,9.65,1.26,Tilt left
0.66,9.73,1.77,Tilt left
0.6,9.62,1.54,Tilt left
0.6,9.67,1.48,Tilt left
0.61,9.7,1.42,Tilt left
0.64,9.69,1.35,Tilt left
0.64,9.71,1.34,Tilt left
0.64,9.7,1.35,Tilt left
0.6,9.7,1.34,Tilt left
0.62,9.71,1.28,Tilt left
0.6,9.68,1.3,Tilt left
0.62,9.68,1.26,Tilt left
0.6,9.7,1.24,Tilt left
0.59,9.73,1.22,Tilt left
0.61,9.76,1.01,Tilt left
0.58,9.79,1.61,Tilt left
0.5,9.66,1.38,Tilt left
0.51,9.68,1.16,Tilt left
0.57,9.7,1.13,Tilt left
0.58,9.69,1.13,Tilt left
0.58,9.72,1.11,Tilt left
0.6,9.75,1.1,Tilt left
0.6,9.74,1.09,Tilt left
0.6,9.73,1.12,Tilt left
0.59,9.73,1.14,Tilt left
0.57,9.73,1.07,Tilt left
0.6,9.74,1.09,Tilt left
0.62,9.75,1.09,Tilt left
0.61,9.72,1.03,Tilt left
0.59,9.71,1.08,Tilt left
0.59,9.7,1.1,Tilt left
0.59,9.71,1.1,Tilt left
0.6,9.76,1.12,Tilt left
0.61,9.78,1.12,Tilt left
0.61,9.76,1.14,Tilt left
0.58,9.74,1.1,Tilt left
0.6,9.74,1.13,Tilt left
0.57,9.72,1.12,Tilt left
0.6,9.7,1.1,Tilt left
0.58,9.72,1.1,Tilt left
0.58,9.73,1.11,Tilt left
0.6,9.73,1.12,Tilt left
0.62,9.75,1.11,Tilt left
0.61,9.74,1.11,Tilt left
0.6,9.73,1.13,Tilt left
0.6,9.71,1.11,Tilt left
0.6,9.68,1.14,Tilt left
0.59,9.69,1.11,Tilt left
0.57,9.75,1.15,Tilt left
0.6,9.75,1.15,Tilt left
0.61,9.75,1.16,Tilt left
0.61,9.77,1.15,Tilt left
0.62,9.76,1.14,Tilt left
0.62,9.74,1.1,Tilt left
0.62,9.69,1.1,Tilt left
0.61,9.7,1.13,Tilt left
0.58,9.72,1.16,Tilt left
0.57,9.71,1.17,Tilt left
0.63,9.75,1.18,Tilt left
0.6,9.75,1.17,Tilt left
0.61,9.77,1.16,Tilt left
0.58,9.75,1.15,Tilt left
0.61,9.73,1.13,Tilt left
0.62,9.7,1.12,Tilt left
0.61,9.72,1.13,Tilt left
0.58,9.71,1.17,Tilt left
0.62,9.71,1.15,Tilt left
0.66,9.74,1.14,Tilt left
0.63,9.76,1.15,Tilt left
0.61,9.73,1.16,Tilt left
0.63,9.74,1.18,Tilt left
0.64,9.73,1.14,Tilt left
0.64,9.7,1.14,Tilt left
0.6,9.68,1.16,Tilt left
0.52,9.72,1.21,Tilt left
0.61,9.73,1.18,Tilt left
0.66,9.78,1.15,Tilt left
0.62,9.78,1.19,Tilt left
0.6,9.73,1.15,Tilt left
0.61,9.69,1.18,Tilt left
0.58,9.66,1.19,Tilt left
0.58,9.68,1.19,Tilt left
0.61,9.71,1.21,Tilt left
0.63,9.75,1.22,Tilt left
0.63,9.76,1.23,Tilt left
0.6,9.76,1.26,Tilt left
0.61,9.73,1.28,Tilt left
0.62,9.7,1.25,Tilt left
0.61,9.67,1.28,Tilt left
0.61,9.63,1.3,Tilt left
0.62,9.65,1.3,Tilt left
0.63,9.67,1.31,Tilt left
0.62,9.66,1.37,Tilt left
0.61,9.68,1.41,Tilt left
0.59,9.66,1.47,Tilt left
0.6,9.7,1.47,Tilt left
0.64,9.67,1.53,Tilt left
0.65,9.67,1.65,Tilt left
0.54,9.58,1.51,Tilt left
0.57,9.57,1.46,Tilt left
0.62,9.65,1.5,Tilt left
0.64,9.72,1.59,Tilt left
0.69,9.72,1.65,Tilt left
0.65,9.69,1.71,Tilt left
0.68,9.71,1.85,Tilt left
0.64,9.66,1.85,Tilt left
0.53,9.56,1.67,Tilt left
0.64,9.55,1.94,Tilt left
0.65,9.56,1.93,Tilt left
0.68,9.62,2.13,Tilt left
0.62,9.53,1.95,Tilt left
0.63,9.58,2.09,Tilt left
0.64,9.59,1.99,Tilt left
0.6,9.56,2.08,Tilt left
0.64,9.55,2.18,Tilt left
0.65,9.5,2.52,Tilt left
0.62,9.37,2.65,Tilt left
0.58,9.47,2.13,Tilt left
0.65,9.48,2.32,Tilt left
0.7,9.41,2.44,Tilt left
0.69,9.42,2.54,Tilt left
0.7,9.38,2.61,Tilt left
0.67,9.35,2.67,Tilt left
0.69,9.38,2.69,Tilt left
0.68,9.3,2.98,Tilt left
0.67,9.27,2.83,Tilt left
0.64,9.34,2.66,Tilt left
0.72,9.35,2.92,Tilt left
0.74,9.32,3.05,Tilt left
0.71,9.34,3.16,Tilt left
0.74,9.26,3.21,Tilt left
0.72,9.27,3.32,Tilt left
0.71,9.19,3.41,Tilt left
0.71,9.15,3.29,Tilt left
0.69,9.19,3.34,Tilt left
0.72,9.13,3.53,Tilt left
0.76,9.09,3.52,Tilt left
0.74,9.09,3.64,Tilt left
0.73,9.03,3.72,Tilt left
0.74,8.99,3.67,Tilt left
0.77,9.01,3.7,Tilt left
0.78,8.99,3.83,Tilt left
0.77,8.97,3.88,Tilt left
0.77,8.98,3.9,Tilt left
0.76,8.92,3.96,Tilt left
0.75,8.92,3.95,Tilt left
0.74,8.88,4.03,Tilt left
0.72,8.84,4.12,Tilt left
0.71,8.82,4.11,Tilt left
0.74,8.79,4.23,Tilt left
0.77,8.78,4.27,Tilt left
0.77,8.75,4.35,Tilt left
0.76,8.7,4.49,Tilt left
0.72,8.61,4.53,Tilt left
0.72,8.61,4.55,Tilt left
0.73,8.58,4.58,Tilt left
0.74,8.52,4.7,Tilt left
0.75,8.46,4.84,Tilt left
0.74,8.42,4.94,Tilt left
0.74,8.4,5.05,Tilt left
0.77,8.31,5.18,Tilt left
0.76,8.26,5.27,Tilt left
0.75,8.21,5.31,Tilt left
0.77,8.16,5.34,Tilt left
0.8,8.11,5.42,Tilt left
0.79,8.07,5.57,Tilt left
0.8,8.01,5.67,Tilt left
0.78,7.91,5.69,Tilt left
0.79,7.77,5.73,Tilt left
0.77,7.65,5.77,Tilt left
0.76,7.59,5.82,Tilt left
0.74,7.62,5.87,Tilt left
0.76,7.58,6.04,Tilt left
0.79,7.5,6.16,Tilt left
0.83,7.52,6.22,Tilt left
0.85,7.54,6.34,Tilt left
0.88,7.48,6.43,Tilt left
0.87,7.42,6.45,Tilt left
0.86,7.33,6.52,Tilt left
0.86,7.17,6.54,Tilt left
0.81,7.06,6.69,Tilt left
0.86,6.88,6.72,Tilt left
0.85,6.8,6.75,Tilt left
0.88,6.75,6.96,Tilt left
0.93,6.65,7.14,Tilt left
0.9,6.57,7.24,Tilt left
0.9,6.43,7.25,Tilt left
0.88,6.39,7.38,Tilt left
0.9,6.26,7.44,Tilt left
0.91,6.12,7.55,Tilt left
0.91,5.97,7.65,Tilt left
0.91,5.82,7.84,Tilt left
0.95,5.7,7.89,Tilt left
0.93,5.58,7.95,Tilt left
0.92,5.45,8.02,Tilt left
0.93,5.26,8.06,Tilt left
0.93,5.08,8.1,Tilt left
0.91,5.03,8.21,Tilt left
0.91,4.93,8.36,Tilt left
0.9,4.82,8.53,Tilt left
0.93,4.71,8.59,Tilt left
0.94,4.52,8.58,Tilt left
0.91,4.4,8.63,Tilt left
0.92,4.28,8.66,Tilt left
0.93,4.2,8.79,Tilt left
0.93,4.04,8.88,Tilt left
0.94,4.01,8.89,Tilt left
0.94,3.86,9.01,Tilt left
0.94,3.68,9.03,Tilt left
0.95,3.58,9.05,Tilt left
0.94,3.47,9.11,Tilt left
0.95,3.35,9.13,Tilt left
0.96,3.15,9.07,Tilt left
0.95,3.08,9.1,Tilt left
0.95,3.04,9.12,Tilt left
0.94,2.98,9.17,Tilt left
0.94,2.9,9.26,Tilt left
0.94,2.87,9.34,Tilt left
0.94,2.77,9.37,Tilt left
0.96,2.69,9.39,Tilt left
0.94,2.66,9.41,Tilt left
0.94,2.6,9.45,Tilt left
0.96,2.52,9.42,Tilt left
0.94,2.46,9.4,Tilt left
0.94,2.37,9.43,Tilt left
0.93,2.25,9.44,Tilt left
0.94,2.24,9.43,Tilt left
0.95,2.18,9.51,Tilt left
0.95,2.17,9.58,Tilt left
0.94,2.11,9.52,Tilt left
0.92,2.07,9.5,Tilt left
0.94,2.01,9.47,Tilt left
0.94,1.94,9.43,Tilt left
0.93,1.85,9.52,Tilt left
0.92,1.81,9.53,Tilt left
0.91,1.76,9.55,Tilt left
0.92,1.72,9.59,Tilt left
0.93,1.7,9.67,Tilt left
0.93,1.64,9.73,Tilt left
0.94,1.59,9.73,Tilt left
0.93,1.57,9.71,Tilt left
0.92,1.44,9.57,Tilt left
0.93,1.35,9.49,Tilt left
0.93,1.32,9.46,Tilt left
0.95,1.28,9.56,Tilt left
0.96,1.22,9.65,Tilt left
0.97,1.19,9.68,Tilt left
0.96,1.17,9.71,Tilt left
0.96,1.13,9.67,Tilt left
0.95,1.09,9.69,Tilt left
0.94,1.09,9.68,Tilt left
0.94,1.01,9.71,Tilt left
0.99,6.88,6.9,Tilt left
0.99,6.88,6.82,Tilt left
1,6.97,6.81,Tilt left
1,6.99,6.66,Tilt left
0.99,7.07,6.62,Tilt left
0.99,7.13,6.61,Tilt left
0.98,7.16,6.58,Tilt left
0.97,7.18,6.51,Tilt left
0.93,7.23,6.48,Tilt left
0.95,7.23,6.5,Tilt left
0.98,7.29,6.42,Tilt left
0.94,7.34,6.37,Tilt left
0.96,7.39,6.35,Tilt left
0.98,7.42,6.28,Tilt left
1,7.43,6.21,Tilt left
0.98,7.43,6.19,Tilt left
0.97,7.45,6.16,Tilt left
0.95,7.5,6.09,Tilt left
0.96,7.48,6.03,Tilt left
0.93,7.52,6.01,Tilt left
0.93,7.6,5.99,Tilt left
0.95,7.67,5.99,Tilt left
0.96,7.69,5.97,Tilt left
0.95,7.73,5.96,Tilt left
0.93,7.75,5.96,Tilt left
0.9,7.8,5.9,Tilt left
0.93,7.84,5.83,Tilt left
0.93,7.8,5.77,Tilt left
0.92,7.78,5.71,Tilt left
0.91,7.82,5.7,Tilt left
0.91,7.88,5.64,Tilt left
0.9,7.91,5.64,Tilt left
0.9,7.97,5.63,Tilt left
0.92,7.96,5.61,Tilt left
0.92,7.96,5.56,Tilt left
0.91,7.95,5.44,Tilt left
